#bat,#call-type,#FmaxE,#FmaxE-lo,#FmaxE-hi,#Fstart,#Fstart-lo,#Fstart-hi,#Fend,#Fend-lo,#Fend-hi,#dur,#dur-lo,#dur-hi,#int,#int-lo,#int-hi
Nathusius Pipistrelle,fm-qcf/qcf,39.3,35.5,41.9,51.1,40,66.8,36.9,35.2,38.9,5.88,3,7.9,129,88.6,237
Common Pipistrelle,fm-qcf/qcf,46.6,41.6,50.6,68.8,50.8,95.2,45.9,40.7,49.9,5.9,3.2,8.6,102.5,59.9,211
Soprano Pipistrelle,fm-qcf/qcf,55.1,50.2,64.1,79.6,63.8,108.6,54.7,49.6,63.9,5.5,2.1,8.2,89.1,51,217.1
Noctule,qcf,19.3,17.5,23.6,23.2,18.2,30.4,18.3,17.1,23,22.1,13.2,29.9,372.2,120.2,807.2
Noctule,fm-qcf,24.5,22.4,33.6,37.9,23.8,52.2,23.7,21.4,32.2,14.7,8.8,23.4,216.9,120.3,413.1
Leislers,qcf,23.1,21.9,24.6,26.2,23.5,29.9,21.9,20.9,24.1,17.1,10.5,25.1,312.2,100.2,801.2
Leislers,fm-qcf,27.1,25,32.1,42.9,29.8,61.7,26.5,24.2,30.7,8.3,6.1,18.4,118.9,107.3,313.1
Serotine,fm-qcf/qcf,25.9,24.1,32.2,58.4,39.1,78,25.5,22.4,32,5.1,1.6,12.3,126,65.1,159
Barbastelle,fm,32.9,29.2,44.7,39.4,35.2,49,28,23.8,36.8,3.4,2.5,5.1,108.4,41.8,229
Barbastelle,qcf-fm,41.6,33.5,43.8,44.1,36.8,47.3,28.9,25.4,31.9,4.3,2,6.6,72.4,43.2,144.9
Brown Long Eared,fm,33.1,25.5,42.1,50,31.9,63.8,25,19.1,30.9,2.3,1.2,3.8,76.8,21.8,172.4
Grey Long Eared,fm,32.6,26.3,50.5,43.4,35.4,55.9,23.6,17,31.7,3.8,1.4,7,105,35.8,194
Greater Mouse Eared,fm,36.1,31.5,53.9,79.6,52.2,104.5,27.9,24.1,37,4.6,2.5,7.1,109.6,46.6,159.1
Daubentons,fm,47,41.8,56.5,81.1,50.3,109.7,29.4,22.4,38.6,3.2,1.4,5.8,75.5,27.5,186
Brandts,fm,46.7,38,78.4,91.6,59,121.9,34,25.8,41.8,3.5,1.5,5,88,56.7,161
Natterers,fm,46.9,36,66.8,106.8,72.1,145.3,22.8,14.9,29,4.7,1.9,7.1,80.1,31.6,188.9
Whiskered,fm,47.5,39.2,68.5,88.3,69.9,101.8,32.4,25.6,43.3,4.2,3.1,6.4,113,66.7,251.5
Bechsteins,fm,51,45.1,55.9,116.2,65,130.9,32.9,28,40.4,2.4,1.6,3.5,96.4,79.4,188.9
Greater Horseshoe,fm-cf-fm,81.3,77.8,83.8,70.2,62.2,78.5,67.3,58.1,80.9,50.5,16.3,73.8,90.2,24.9,186.6
Lessor Horseshoe,fm-cf-fm,111.1,107.3,114,99,92.3,107.8,96.6,83.4,110.3,43.6,11.9,61.4,70.4,14.1,113.7
